Location,Burrito,Date,Neighborhood,Yelp
Donato's taco shop,California ,1/18/2016,Miramar,3.5
Oscar's Mexican food,California ,1/24/2016,San Marcos,3.5
Pollos Maria,California,1/27/2016,Carlsbad,4
Nico's Taco Shop,California,1/30/2016,Carmel Valley,3
Los Primos Mexican Food,Monster California,2/1/2016,UTC,3
JV's Mexican Food,Carne Asada,2/6/2016,Morena,4
Tony's Fresh Mexican Food,Chile verde pork,2/11/2016,Miramar,3
Taco Stand,California,2/12/2016,La Jolla,4.5
Graciela's Taco Shop,Adobada ,2/14/2016,Bonita,4
Rigoberto's Taco Shop La Jolla,California,2/17/2016,La Jolla,2.5
Lolita's taco shop,2 in 1,2/24/2016,Kearny Mesa,4
Lola's 7 Up Market & Deli,Shredded beef,2/29/2016,Carlsbad,4.5
Colima's Mexican Food,Hawaiian,3/3/2016,North Park,4
Rigoberto's Taco Shop,Carne asada,3/8/2016,Miramar,4
Raul's Mexican food,Chile verde pork,3/11/2016,Encinitas,4
El Zarape,California,3/14/2016,University Heights,4
El Indio,California,3/17/2016,San Diego,3.5
Cancun Mexican & Seafood,California,3/20/2016,Encinitas,4.5
Vallarta express,Quesaburro,3/21/2016,Clairemont,3.5
Mikes Taco Club,California,3/23/2016,Ocean Beach,4.5
La Perla Cocina,Addiction,3/30/2016,Pacific Beach,4.5
Porkyland ,Deborah's special,4/2/2016,Carmel Valley,4
Rudy's Taco Shop,Chicken,4/9/2016,Solana Beach,4
California Burritos,California Everything,4/15/2016,Linda Vista,4.5
Jorge's Mexicatessen,California ,4/24/2016,Encinitas,4
Senor Grubby's,California,4/24/2016,Carlsbad,4
Mi Asador Mexican & Seafood ,California ,4/27/2016,Oceanside,4.5
Sotos Mexican Food,California,5/4/2016,Miramar,4.5
Karina's Taco Shop ,Bomb,5/15/2016,Encinitas,4
Juanita's Taco Shop,California ,5/18/2016,Encinitas,4
Goody's,Custom,5/20/2016,La Jolla,3.5
Taco Surf PB,California,5/23/2016,Pacific Beach,4
Roberto's Very Mexican Food,Chicken asada,5/24/2016,Del Mar,3.5
Netos Mexican Food,California ,5/26/2016,San Marcos,4.5
Pokirrito,Pokirrito classic ,5/29/2016,Kearny Mesa,4
El Nopalito ,Especial ,6/1/2016,Encinitas,4
Los tacos ,Local,6/5/2016,Oceanside,4
Albertacos,California ,6/8/2016,San Marcos,3.5
El Rey Moro,California Surf,6/9/2016,Clairemont,4
Tacos por favor,Carne asada,6/11/2016,Santa Monica,4
El Dorado Mexican Food,California,6/16/2016,Temecula,4.5
Papa Chito's Mexican Food,California,8/9/2016,University City,2.5
El Pueblo Mexican Food,California,8/10/2016,Cardiff ,4
Burros and Fries,California,8/12/2016,Clairemont,3.5
King Burrito,Adobada,8/16/2016,Oceanside,4
Carmen's Mexican Food,Adobada,8/19/2016,Clairemont,4
Senor Panchos,Pollo asado,8/21/2016,San Marcos,4
Los Cabos,California,8/27/2016,San Marcos,4
Rubios UCSD,Tilapia one,8/30/2016,UTC,3.5
Lucha Libre North Park,Surf & Turf,8/30/2016,North Park,3.5
Tacos La Bala,Pastor,9/5/2016,Houston,4.5
Roberto's Taco Shop Clairemont,California,9/11/2016,Clairemont,4
Chipotle,Carnitas,9/13/2016,Carlsbad,3
El Cuervo,California ,9/22/2016,Hillcrest,4
El Torrito Foods,Asada,9/25/2016,Vista,4
La Morena Taco Shop and Seafood,California,9/22/2016,Webster,4.5
Taco Villa,Carnitas,9/26/2016,UTC,3.5
Valentines Mexican Food,California ,10/1/2016,Downtown,4
Matador Mexican Food,Carnitas,10/2/2016,Morena,4.5
Jose's Taco,California,10/5/2016,Oceanside,4
Cortez Mexican Food,California ,10/7/2016,Bonsall,4.2
California Burrito Company,Dave's California,10/12/2016,Miramar,3.5
Taco Stand Encinitas,California ,10/29/2016,Encinitas,4
Ortiz's Taco Shop #2,California,11/2/2016,Pacific Beach,4
El Portal Fresh Mexican Grill,Mahi,11/6/2016,Clairemont,4
Famoso Mexican Street Food,Cali Diablo,11/14/2016,Downtown,4.5
Los Panchos Taco Shop,California,11/23/2016,Hillcrest,3
El Pollo Loco,Chicken avocado,11/27/2016,Oceanside,3.5
Gloria's Taco Shop,California ,12/2/2016,South Park,4
Mr. Ruribertos Taco Shop ,California,12/10/2016,Mission Beach,3.5
Mister Falafel,Chicken Shawarma,12/15/2016,Clairemont,4.5
Lupe's Taco Shop,Hot cheetos,1/12/2017,Linda Vista,3.5
Cotixan,California,2/23/2017,Clairemont,4
Lourdes,Carnitas,3/3/2017,Encinitas,4
Los palmitos,California,4/23/2017,Clairemont,4
Filiberto's,Adobada,5/2/2017,Encinitas,3
Don Carlos Taco Shop,California,5/9/2017,La Jolla,4
Los Tacos 2,Al pastor tradicional ,5/13/2017,Oceanside,4.5
Roberto's Taco Shop Hillcrest,Asada,5/30/2017,Hillcrest,4
Caliente Mexican Food,Carne asada ,7/6/2017,Sorrento Valley,3.5
Burrito Factory,Steak everything ,7/13/2017,Austin,4.5
Lalo's Tacos,California,8/11/2017,Hillcrest,3
Kotija Jr,California,8/19/2017,Del Mar,4
Burrito Box,Steak with guacamole,12/16/2017,New York,4
El Patron,Breakfast,1/9/2018,National City,4.5
La Posta de Acapulco,California,1/12/2018,Hillcrest,3.5
Lucha Libre Carlsbad ,Alambre california,4/21/2018,Carlsbad,3.5
